Классификация,Тип аромата,Пол,Начальная нота,Нота сердца,Конечная нота,Сделано в,Премьера аромата,Страна ТМ,Code,Brand,Perfume,Время применения,Тип кожи,Возрас,Объем
масс маркет,,унисекс,,,,Дания,,Дания,167141,Парфюмированное масло для тела,Парфюмированное масло,универсальное,все типы,: 18+,10ml
масс маркет,"цветочные, шипровые",для женщин,"Бергамот, Болгарская роза, Бутон черной смородины, Гальбанум, Гиацинт, Листья черной смородины, Малина","Жасмин, Иланг-иланг, Кедр, Корень ириса, Ландыш, Мед, Нарцисс, Тубероза","Амбра, Ветивер, Дубовый мох, Мускус, Пачули, Сандаловое дерево, Специи, Циветта",Беларусь,1998,Беларусь,248811,Dilis Parfum,Dilis Parfum Classic Collection №2,,,,
масс маркет,шипровые,для женщин,"Бергамот, Горький апельсин, Черная смородина","Жасмин, Ландыш, Роза, Слива","Ваниль, Кедр, Мускус, Пачули, Янтарь",Франция,2000,Франция,454947,Lambre,Lambre № 8,,,,
масс маркет,"фруктовые, цветочные",для женщин,"Бергамот, Груша, Дыня, Магнолия, Мандарин, Персик","Жасмин, Ландыш, Орхидея, Роза из Непала, Слива, Тубероза, Фиалка, Фрезия","Ваниль, Ежевика, Кедр, Мускус",Беларусь,2014,Беларусь,248751,Dilis Parfum,Dilis Parfum Classic Collection №29,,,,
масс маркет,"фруктовые, цветочные",для женщин,"Бутон черной смородины, Земляника, Листва, Малина, Розовый грейпфрут, Черная смородина","Белая лилия, Ландыш, Пион, Фиалка","Ваниль, Кашемировое дерево, Мускус",Беларусь,2014,Беларусь,248741,Dilis Parfum,Dilis Parfum Classic Collection №27,,,,
масс маркет,"фруктовые, цветочные",для женщин,"Ананас, Ежевика, Личи, Персик, Слива","Жасмин, Лилия, Нарцисс, Ноготки, Роза","Амбра, Ваниль, Мускус, Сандал",Франция,2000,Франция,455515,Lambre,Lambre № 34,,,,
масс маркет,"восточные, цветочные",для женщин,"Мандарин, Тубероза, Фрезия","Жасмин, Ландыш, Роза, Слива","Ваниль, Гелиотроп, Малина, Пачули",Беларусь,2015,Беларусь,248757,Dilis Parfum,Dilis Parfum Classic Collection №31,,,,
масс маркет,"альдегидные, цветочные",для женщин,"Альдегиды, Бергамот, Иланг-иланг, Лимон, Нероли","Жасмин, Ирис, Корень ириса, Ландыш, Роза","Амбра, Ваниль, Ветивер, Дубовый мох, Мускус, Пачули, Сандаловое дерево, Циветта",Беларусь,2001,Беларусь,249013,Dilis Parfum,Dilis Parfum Classic Collection №15,,,,
масс маркет,"фруктовые, цветочные",для женщин,"Дыня, Черная смородина, Яблоко","Жасмин, Ландыш, Роза","Амбра, Кедр, Мускус, Сандал",Франция,2011,Франция,454959,Lambre,Lambre № 12,,,,
масс маркет,"фруктовые, цветочные",для женщин,"Грейпфрут, Черная смородина","Абрикос, Жасмин, Лилия","Бобы тонка, Ваниль, Мускус, Сандал",Украина,2000,Украина,515955,Evis,Evis Intense Collection № 60,,,,
масс маркет,"фруктовые, цитрусовые",для женщин,"Calone, Бергамот, Водные ноты, Грейпфрут, Дыня, Персик, Цитрусы","Древесные ноты, Жасмин, Ландыш, Лилия","Амбра, Мускус",Европейский Союз,2019,Польша,604897,Federico Mahora,Federico Mahora Pure 419,,,,
масс маркет,"фруктовые, цветочные",для женщин,"Зеленое яблоко, Персик, Цветки папайи, Черная смородина","Белая лилия, Водяной гиацинт, Жасмин, Фиалковый корень","Ваниль, Кедр, Сандал",Франция,2000,Франция,454889,Lambre,Lambre № 5,,,,
масс маркет,фруктовые,для женщин,"Гардения, Персик, Фрезия","Дамасская роза, Жасмин, Кориандр","Ваниль, Ветивер, Пачули",Украина,2000,Украина,515887,Evis,Evis Intense Collection № 90,,,,
нишевая,"фруктовые, шипровые",унисекс,"Листья черной смородины, Малина, Маракуйя, Персик",Ландыш,"Ваниль, Гелиотроп, Мускус, Пачули, Сандал",Италия,2015,Италия,267819,Tiziana Terenzi,Tiziana Terenzi Kirke,,,,
нишевая,"фруктовые, шипровые",унисекс,"Листья черной смородины, Малина, Маракуйя, Персик",Ландыш,"Ваниль, Гелиотроп, Мускус, Пачули, Сандал",Италия,2015,Италия,305609,Tiziana Terenzi,Tiziana Terenzi Kirke,,,,
нишевая,"фруктовые, шипровые",унисекс,"Листья черной смородины, Малина, Маракуйя, Персик",Ландыш,"Ваниль, Гелиотроп, Мускус, Пачули, Сандал",Италия,2015,Италия,623131,Tiziana Terenzi,Tiziana Terenzi Kirke,,,,
масс маркет,"древесные, пряные",для женщин,"Клюква, Лимон, Чайные листья, Черная смородина","Белый пион, Водяная лилия, Роза","Ваниль, Мускус, Пачули",Европейский Союз,2019,Польша,605053,Federico Mahora,Federico Mahora Pure 703,,,,
масс маркет,"древесные, мускусные, цветочные, цитрусовые",для женщин,"Ананас, Апельсин, Бергамот, Грейпфрут, Роза","Белая фрезия, Гардения, Гиацинт, Ирис, Красное яблоко, Ландыш, Лотос, Фиалка","Амбра, Белый кедр, Ладан, Мускус, Пачули, Сосна",Украина,2000,Украина,516079,Evis,Evis Intense Collection №353,,,,
масс маркет,цветочные,для женщин,"Лимон, Цветочные ноты, Юзу","Апельсиновый цвет, Жасмин, Лотос","Ваниль, Кедр из Вирджинии, Пачули, Сандал",Украина,2000,Украина,515829,Evis,Evis Intense Collection № 300,,,,
масс маркет,"ориентальные, цветочные",для женщин,"Бергамот, Фиалка, Черная смородина","Жасмин, Ирис, Малина, Роза","Ваниль, Ветивер, Кедр, Мускус, Пачули",Франция,2001,Франция,455389,Lambre,Lambre №26,,,,
масс маркет,"ориентальные, цитрусовые",для женщин,"Апельсин, Гвоздика, Мандарин, Мускатный орех","Жасмин, Лаванда, Тубероза, Цветы апельсина","Ваниль, Лабданум, Пачули, Сандал",Европейский Союз,2000,Польша,797313,Federico Mahora,Federico Mahora Pure 484,,,,
масс маркет,ориентальные,для женщин,"Дыня, Персик, Слива","Ваниль, Жасмин, Карамель","Амбра, Мускус, Сандал",Франция,2000,Франция,454951,Lambre,Lambre № 11,,,,
масс маркет,"фруктовые, цветочные",для женщин,"Бергамот, Лимон, Черная смородина","Жасмин, Ландыш, Роза","Амбра, Кедр, Сандал",Европейский Союз,2019,Польша,604515,Federico Mahora,Federico Mahora Pure 98,,,,
масс маркет,"цветочные, шипровые",для женщин,"Апельсин, Апельсиновый цвет, Бергамот, Мандарин","Жасмин, Иланг-иланг, Мимоза, Турецкая роза","Белый мускус, Бобы тонка, Ваниль, Ветивер, Опопанакс, Пачули",Беларусь,2008,Беларусь,249035,Dilis Parfum,Dilis Parfum Classic Collection №17,,,,
масс маркет,"восточные, ориентальные, фруктовые",для женщин,"Кокос, Личи, Петитгрейн, Пион, Фрезия","Ирис, Магнолия, Орхидея, Роза, Тубероза","Амбра, Бензоин, Ваниль, Дубовый мох, Кедр, Сандал",Латвия,2007,Латвия,371145,Dzintars,Dzintars Amuro For Woman 619,,,,
масс маркет,"пудровые, цветочные",для женщин,"Абрикос, Грейпфрут, Черная смородина","Жасмин, Лилия","Бобы тонка, Ваниль, Мускус, Сандал",Франция,2000,Франция,454637,Lambre,Lambre 19,,,,
масс маркет,фруктовые,для женщин,"Бергамот, Слива, Яблоко","Ландыш, Роза, Фрезия","Амбра, Мускус",Украина,2010,Украина,457369,Evis,Evis Intense Collection №306,,,,
